うじ,氏,蛆
うじょう,右丞,有情,羽状,鵜匠
うす,碓,臼,薄
うすい,薄い,雨水
うすぎ,薄着,薄黄
うすづき,臼搗き,薄付き
うすば,臼歯,薄刃,薄羽
うすみ,薄み,薄身
うず,右図,渦,烏頭,雲珠
うせい,迂生,雨声
うせつ,右折,雨雪
うそ,嘘,嘯,獺,鷽
うた,歌,詩,譜
うたす,打たす,撃たす
うたひめ,歌妓,歌姫
うたん,右端,右袒
うち,内,家,打ち,撃ち,衷,裡,討ち
うちあげ,打ち上げ,打揚げ
うちいり,内入,討ち入り
うちかた,打ち方,撃ち方
うちがり,内借り,内刈
うちき,内気,打ち木,打ち気
うちぎぬ,打衣,擣衣
うちご,打ち碁,打ち豆汁
うちまき,内巻き,打撒
うちゅう,右中,宇宙,雨中,雨注
うちゅうせん,宇宙線,宇宙船
うちわ,内輪,団扇
うちわけ,内訳,打ち分け
うっけつ,鬱結,鬱血
うつ,打つ,撃つ,討つ,鬱
うつしみ,現し身,移し身
うつじょうたい,うつ状態,鬱状態
うつす,写す,映す,移す
うつり,写り,移り
うつる,写る,憑る,映る,移る
うつろう,映ろう,移ろう
うてい,烏啼,盂鼎,禹鼎
うでん,優填,右殿
うとう,右党,善知鳥
うどん,優曇,饂飩
うなじ,海路,項
うば,乳母,姥
うばい,優婆夷,烏梅
うひょう,右表,雨氷
うぶ,初,右廡,有部
うぶぎ,産着,産衣
うへん,右片,右辺,羽片
うま,午,馬
うまい,右舞,旨い,熟寝,熟睡,甘い
うまに,旨煮,甘煮
うまや,厩,馬屋
うまれつき,生まれ付き,生れ付き
うみ,海,生み,膿
うむ,倦む,有無,熟む,生む,績む,膿む
うめき,呻き,埋め木
うめちゃ,埋め茶,梅茶
うよく,右翼,羽翼
うら,浦,裏
うらがね,裏曲,裏金
うらがわ,裏側,裏革
うらて,占手,裏手
うらなみ,浦波,裏波
うらみ,恨み,裏見
うらもん,裏紋,裏門
うり,売り,瓜
うりこ,売り子,瓜子
うりん,雨林,雲林
うる,売る,得る,粳
うるう,潤,閏
うれい,愁,憂い
うれる,売れる,熟れる
うろ,有漏,烏鷺,虚,迂路,雨露
うわぐすり,釉,釉薬
うわづみ,上積,上積み
うわね,上値,上根
うん,吽,運
うんえい,運営,雲翳
うんか,浮塵子,運化,雲霞
うんかい,運開,雲海
うんかく,雲客,雲角,雲鶴
うんき,温気,運気,雲気,雲貴
うんきゅう,運休,雲級
うんこう,芸香,運航,運行,運鉱,雲高
うんさい,雲斎,雲際
うんさん,雲散,雲桟
うんざん,運算,雲山
うんしゅう,温州,雲集
うんしん,曇心,運針
うんじょう,運上,雲上,雲壌
うんそう,運漕,運送,運遭
うんたん,運担,雲端
うんてい,雲底,雲梯
うんぷ,運否,運賦
うんゆう,雲涌,雲遊
うんりゅうすい,雲竜水,雲龍水
え,会,枝,柄,榎,江,穢,絵,荏,衣,餌
えい,依位,嬰,楹,睿,穎,纓,英,裛衣,詠,酔い
えいい,営為,栄位,衛尉,鋭意
えいいん,影印,英印
えいえい,永栄,英英
えいえん,映演,永遠
えいおん,嬰音,鋭音
えいか,曳火,英貨,詠歌
えいかく,瘞鶴,鋭角
えいかん,叡感,栄冠,英艦
えいが,映画,栄華,英華,映畫
えいき,盈虧,英気,鋭気
えいきゅう,営救,永久
えいきょう,影響,英京,衛教
えいぎょう,営業,永業
えいぎょうしゃ,営業者,営業車
えいけつ,永訣,英傑
えいけん,営建,英検,衛研
えいこう,曳光,曳航,曳行,栄光
えいこん,曳痕,英魂
えいご,穎悟,英語
えいし,栄賜,英姿,英紙,英詞,英詩,英誌,英資,衛士,衛視,詠史
えいしゃ,営舎,映写,映射,泳者
えいしょ,営所,英書,衛所,郢書
えいしょう,嬰商,英商,詠唱
えいしん,栄進,詠進
えいじ,営自,嬰児,永字,英字
えいずる,映ずる,詠ずる
えいせい,叡聖,永世,永生,永逝,衛星,衛正,衛生
えいせいか,衛生科,衛生課
えいそう,営倉,営巣,営草,詠草,詠藻
えいぞう,営造,影像,映像
えいだん,営団,英断
えいちゅう,営中,英中
えいてん,栄典,栄転
えいふう,翳風,衛風
えいぶん,叡聞,英文
えいへい,英兵,衛兵
えいほう,泳法,英法,詠法,鋭鋒
えいめい,英名,英明
えいゆう,英勇,英雄
えいよう,栄耀,栄養
えいらん,叡覧,英蘭
えいり,営利,営理,絵入り,鋭利
えいりょう,営漁,英領
えいりょく,営力,泳力
えき,役,易,液,疫,益,駅
えきか,液化,液果,腋下,腋窩,駅家
えきかん,駅間,駅館
えきが,易牙,腋芽
えきがく,易学,疫学
えきがっ,易学,疫学
えきし,易幟,駅子
えきしゃ,易者,駅舎
えきしょう,液晶,駅商
えきしん,液浸,疫神
えきじゅう,液汁,益重
えきする,役する,益する
えきせい,易世,易姓,液性,駅制
えきちゅう,液中,液柱,益虫
えきちょう,益鳥,駅長
えきてい,駅丁,駅亭,駅逓
えきとう,液糖,駅頭
えきば,役馬,駅馬
えきふ,役夫,駅夫
えきべん,液便,駅弁
えきり,疫痢,駅吏
えきれい,液冷,疫癘,駅鈴
えぐる,刳る,抉る
えこ,会古,依怙
えさだい,餌代,餌台
えし,壊死,絵師
えしん,回心,穢身
えそ,壊疽,狗母魚
えっけん,謁見,越権
えっする,謁する,閲する
えつ,悦,謁,越,閲
えて,得手,柄手
えび,葡萄,蝦
えびせんべい,海老せんべい,海老煎餅
えふ,絵布,衛府
えほう,依報,恵方
えもの,得物,獲物
えもん,衛門,衣紋
えよう,絵容,絵様
えり,襟,選り
える,彫る,得る,選る
えん,円,冤,園,塩,婉,宴,縁,艶,苑
えんい,炎威,遠位
えんいん,延引,掩韻,援引,演員,縁因,遠因,遠引,鉛印
えんえい,掩映,援英,遠影,遠泳
えんえん,炎焔,焔烟,煙炎
えんおう,冤枉,淵奥,燕王,鴛鴦
えんか,円価,円貨,嚥下,塩化,延河,演歌,炎夏,炎火,煙火,煙花,煙霞,縁家
えんかい,円戒,塩海,宴会,沿海,縁海,遠海,鉛灰
えんかく,沿革,燕角,遠隔
えんかん,円環,円管,円缶,塩乾,捐官,淵鑑,演鑑,焔管,煙管,鉛管,閹宦
えんが,偃臥,娟雅
えんがい,円外,円蓋,円買い,塩害,掩蓋,煙害,猿害
えんがく,円覚,縁覚,讌楽
えんがわ,園側,縁側
えんがん,沿岸,遠眼
えんき,厭忌,塩基,延期,炎気,遠忌,鉛基
えんきゅう,円丘,円球,鉛球
えんきょう,円鏡,猿叫
えんぎ,演伎,演技,演義,縁起,艶技,衍義
えんぎょう,円教,塩業
えんぐん,厭軍,援軍
えんけい,円型,円形,炎景,遠景
えんけん,偃蹇,円圏,厭倦,延見,遠見
えんげい,園芸,演芸
えんげいか,園芸家,園芸科,演芸家
えんげき,演劇,映劇
えんげつ,偃月,円月
えんげん,怨言,援言,淵源,煙源
えんこ,円弧,縁故,遠古,塩湖
えんこう,円光,円口,円孔,堰高,塩坑,塩鉱,怨曠,援交,炎口,猿猴,遠交,遠航,遠行,鉛鉱
